"","ETH_2011_ERSS_v02_M","ETH_2013_ESS_v03_M","ETH_2015_ESS_v03_M","ETH_2018_ESS_v03_M","MLI_2014_EACI_v03_M","MLI_2017_EAC-I_v03_M","MWI_2010-2013_IHPS_v01_M","MWI_2010_IHS-III_v01_M","MWI_2016_IHS-IV_v04_M","MWI_2019_IHS-V_v05_M","NER_2011_ECVMA_V01_M","NER_2014_ECVMA-II_v02_M","NGA_2015_GHSP-W3_v02_M","NGA_2018_GHSP-W4_v03_M","UGA_2011_UNPS_v01_M","UGA_2013_UNPS_v02_M","UGA_2015_UNPS_v02_M","UGA_2018_UNPS_v02_M","UGA_2019_UNPS_v03_M"
"1",482,148,10,1866,12,5,831,1800,1268,1817,0,0,132,346,8134,2030,981,758,601
"2",560,349,62,3092,38,7,137,455,169,429,0,0,358,616,3970,1692,292,1069,952
"3",1190,928,181,2762,23,1,68,171,162,331,36,21,1304,2060,19037,4998,1078,3716,3269
"4",3407,3008,1711,782,46,37,76,237,285,478,8,115,2132,2834,9731,2432,1292,1436,2517
"5",5329,4235,3925,622,660,2014,104,301,275,520,1998,2513,1785,4085,4329,762,479,636,1120
"6",5720,5190,4517,314,3941,10955,258,416,246,529,7599,5294,3457,3080,3243,607,299,394,484
"7",5694,6140,4070,373,4324,9439,325,293,165,410,2505,3710,1022,724,1860,1267,548,1614,1247
"8",2111,2141,1613,1548,999,2346,228,272,151,408,514,291,349,103,3407,3465,670,2497,2865
"9",0,0,0,0,6,100,142,265,116,379,0,0,59,38,1531,1377,398,1201,1199
"10",0,0,0,0,0,17,292,819,463,1127,0,0,53,73,310,295,200,258,222
"11",0,0,0,0,0,4,2777,12616,5694,13078,0,0,40,118,215,162,98,80,134
"12",0,0,0,0,3,1,5927,11682,18425,16278,0,0,42,77,169,118,66,74,101
