"","ETH_2011_ERSS_v02_M","ETH_2013_ESS_v03_M","ETH_2015_ESS_v03_M","ETH_2018_ESS_v03_M","MLI_2014_EACI_v03_M","MLI_2017_EAC-I_v03_M","MWI_2010-2013_IHPS_v01_M","MWI_2010_IHS-III_v01_M","MWI_2016_IHS-IV_v04_M","MWI_2019_IHS-V_v05_M","NER_2011_ECVMA_V01_M","NER_2014_ECVMA-II_v02_M","NGA_2015_GHSP-W3_v02_M","NGA_2018_GHSP-W4_v03_M","UGA_2011_UNPS_v01_M","UGA_2013_UNPS_v02_M","UGA_2015_UNPS_v02_M","UGA_2018_UNPS_v02_M","UGA_2019_UNPS_v03_M"
"1907",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1914",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1915",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1920",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"1928",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1930",0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
"1932",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1933",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1935",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1937",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1938",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1939",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"1940",0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0
"1942",0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
"1943",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1944",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"1945",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"1947",2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
"1948",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1949",0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0
"1950",1,0,0,0,0,0,2,9,5,13,0,0,0,0,0,0,0,0,0
"1952",0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,0,0,0
"1953",2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
"1954",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"1955",0,0,0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0
"1956",0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,1,0
"1957",2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"1958",0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0
"1959",4,0,0,0,0,0,3,4,0,2,0,0,0,0,0,0,0,0,0
"1960",1,0,0,0,0,0,10,30,16,31,0,0,0,0,0,0,0,0,1
"1961",5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"1962",1,0,0,0,0,0,5,9,4,4,0,0,0,0,0,0,0,0,0
"1963",0,0,0,0,0,0,8,6,5,2,0,0,0,0,0,0,0,0,0
"1964",1,0,0,0,0,0,8,13,8,7,0,0,0,0,0,0,0,0,0
"1965",4,1,0,0,0,0,2,6,6,8,0,0,0,0,0,0,0,2,0
"1966",1,0,0,0,0,0,1,3,3,5,0,0,0,0,0,0,0,0,0
"1967",20,1,0,0,0,0,3,7,2,1,0,0,0,0,0,0,0,0,2
"1968",3,0,0,0,0,0,6,6,2,5,0,0,0,0,0,0,0,2,0
"1969",8,0,0,0,0,0,3,12,4,3,0,0,0,0,0,0,0,0,0
"1970",6,0,0,0,0,0,26,77,35,50,0,0,0,0,0,0,0,10,6
"1971",8,0,0,0,0,0,11,19,3,2,0,0,0,0,0,0,0,1,0
"1972",9,0,0,0,0,0,11,32,18,14,0,0,0,0,0,0,0,0,2
"1973",18,0,0,0,0,0,7,12,10,6,0,0,0,0,0,0,0,3,0
"1974",19,0,0,0,0,0,5,18,12,15,0,0,0,0,0,0,0,5,2
"1975",8,0,0,0,0,0,18,27,19,46,0,0,0,0,0,0,0,0,5
"1976",11,0,0,0,0,0,16,22,22,20,0,0,0,0,0,0,0,2,2
"1977",38,1,0,0,0,0,5,11,9,7,0,0,0,0,0,0,0,1,0
"1978",6,0,0,0,0,0,26,34,28,30,0,0,0,0,0,0,0,1,4
"1979",12,0,0,0,0,0,25,36,16,23,0,0,0,0,0,0,0,1,2
"1980",6,0,0,0,0,0,88,192,139,129,0,0,0,0,0,0,0,25,11
"1981",14,2,0,0,0,0,33,36,19,13,0,0,0,0,0,0,0,5,0
"1982",7,2,0,0,0,0,30,72,24,30,0,0,0,0,0,0,0,5,4
"1983",16,0,0,0,0,0,23,28,17,17,0,0,0,0,0,0,0,0,1
"1984",25,0,0,0,0,0,33,45,32,13,0,0,0,0,0,0,0,15,3
"1985",17,1,0,0,0,0,29,99,50,46,0,0,0,0,0,0,0,2,2
"1986",11,9,0,0,0,0,29,60,28,40,0,0,0,0,0,0,0,9,3
"1987",75,7,0,0,0,0,41,62,25,20,0,0,0,0,0,0,0,17,6
"1988",15,1,0,0,0,0,21,49,19,26,0,0,0,0,0,0,0,11,17
"1989",28,1,0,0,0,0,41,136,50,49,0,0,0,0,0,0,0,4,2
"1990",38,7,0,0,0,0,91,271,192,247,0,0,0,0,0,0,0,34,35
"1991",49,0,0,0,0,0,37,78,34,26,0,0,0,0,0,0,0,3,1
"1992",37,10,0,0,0,0,65,120,61,55,0,0,0,0,0,0,0,14,2
"1993",38,3,0,0,0,0,31,52,31,33,0,0,0,0,0,0,0,11,4
"1994",48,6,0,0,0,0,56,75,57,53,0,0,0,0,0,0,0,17,12
"1995",53,1,0,0,0,0,35,185,78,104,0,0,0,0,0,0,0,11,10
"1996",63,2,0,0,0,0,43,96,56,55,0,0,0,0,0,0,0,21,6
"1997",101,2,0,0,0,0,45,94,50,56,0,0,0,0,0,0,0,10,11
"1998",33,1,0,0,0,0,77,148,85,111,0,0,0,0,0,0,0,69,31
"1999",66,3,0,0,0,0,72,178,166,177,0,0,0,0,0,0,0,16,13
"2000",52,2,0,0,0,0,183,399,232,538,0,0,0,0,0,1477,0,120,69
"2001",149,2,0,0,0,0,85,168,123,149,0,0,1,0,0,59,2466,23,5
"2002",127,3,0,0,0,0,60,121,66,108,0,0,0,0,0,54,42,25,13
"2003",163,14,0,0,0,0,82,93,70,108,0,0,0,0,0,73,47,25,26
"2004",197,6,0,0,0,0,76,177,73,128,0,0,0,0,0,65,45,22,26
"2005",267,23,0,0,0,0,75,122,105,188,0,0,0,0,0,124,63,54,19
"2006",240,32,0,0,0,0,54,133,101,128,0,0,0,0,0,216,90,39,18
"2007",371,38,0,0,0,0,74,151,56,123,0,0,0,0,0,57,74,25,26
"2008",279,29,0,0,0,0,116,4453,94,153,0,0,0,0,0,121,72,117,30
"2009",392,22,0,0,0,0,98,22009,91,179,0,0,0,0,0,88,66,37,84
"2010",20085,45,0,0,0,0,109,2977,125,239,0,0,0,0,9408,149,84,148,80
"2011",1182,99,0,0,0,0,70,3,54,131,0,0,2,0,45857,288,149,66,38
