crop,n
maize,43500
groundnut (peanut),15437
sorghum,13340
bean,12767
cassava,12742
pumpkin (leave),9884
pigeon pea,8797
millet,7984
sweet potato,7814
mango,7617
cowpea,5846
rice,5744
banana (food),5412
soybean,4293
coffee,4157
banana,3876
teff,3088
corn,2987
tobacco,2792
other,2333
finger millet,2299
enset,2281
cotton,2246
wheat,2148
barley,2054
tomato,1913
avocado,1865
horse bean,1752
kale,1657
potato (irish),1644
chat,1549
pumpkin,1458
sesame,1387
field pea,1296
sugarcane,1289
haricot bean,1279
cassava (old),1245
okro,1224
millet (maiwa),1193
guava,1166
yam,1158
simsim,1107
sorghum (guinea corn),1098
gesho,1093
pepper (red),1079
godere,1069
sunflower,1044
guinea corn (sorghum),1037
orange,1000
pea,976
onion,969
chinese cabbage,902
garlic,885
yam (white),862
papaya,744
bambara groundnut,712
red kidney bean,664
potato,658
papaya (pawpaw)/papaya,641
pepper (green),620
other (root c),571
chick pea,551
nueg,550
cocoyam,540
banana (beer),513
lineseed,500
banana (sweet),498
rape seed,493
cabbage,491
millet (pearl),475
papaya (pawpaw),445
fonio,444
lemon,434
other (fruits),421
lentil,401
sorrel,400
coffee (arabica),350
fenugreek,338
sesame (beeni-seed),330
rue,321
yam (water),319
peach,314
oil palm,312
other (spices),311
vetch,305
masau,281
cocoa,263
apples (mexican) [masuku],253
coffee (robusta),241
masuku,239
ground bean,199
beer root,194
other (vegetables),191
pineapples,180
ginger,159
pepper (chilli),155
pepper,152
sacred basil,141
yam (three leaved),137
other (land),133
cardamon,130
kolanut,130
naartje (tangerine),127
tangerine,124
melon,120
pepper (small/ rodo),113
poza (custard apples),110
coriander,109
eggplant,105
melon (egusi),103
oat,99
jackfruit,98
carrot,93
watermelon,93
mung bean (masho),91
kazmir,86
green vegetable,80
other (pulses),77
blue gum (eucalyptus globus),76
gishita,76
acacia,75
spinach,72
cucumber,71
gibto,70
pepper (bell),68
tea,68
cashew nut,66
zucchini,60
pumpkin (seed),59
tumeric,56
apples (mexican),53
yam (yellow),52
groundnut (shelled),51
lettuce,50
pakhomo,50
cactus,49
pear,49
garden egg,47
apples,46
grazing land,44
other (cereals),44
cauliflower,41
mpoza,41
green sorrel,40
passion fruit,39
paprika,38
vanilla,37
poza (custard apple),35
agbono (oro seed),34
papaya (pawpaw)s,33
coconut,29
temporary gr,29
shiferaw,28
acha,27
black cumin,24
citron,23
dodo,23
pepper (sweet/ bell/ tatashe),23
pawpaw,22
pepper (chilli/ shombo),20
other (oil seed),18
zobo,18
mandarin,17
white cumin,17
groundnut (unshelled),16
paddy (unshelled rice),15
mapoza,14
naartje,14
other (cash crop),14
tiger nut,14
cassava (sauti),13
malaina,13
chinangwa,12
dah,12
mandalena,12
roman,12
fennel,11
maize (unshelled/ cob),11
calabash,10
cassava (masungazungu),9
maize (shelled/ grain),9
beet,8
eggplant (jaxatu),8
melon (unshelled),8
red sorrel,8
thochi,8
topetope,8
celery,7
mabulosi,7
malambe,7
amboshika,6
cassava (mbundumale),6
cassava (mpapa),6
granadilla,6
mexican apple,6
musekese,6
taro,6
bamboo,5
bwemba,5
fuel wood tree,5
kumunda,5
magwafa,5
oil bean,5
pichesi,5
pumpkin (fruit),5
sendeleya,5
sweet pea,5
baobab,4
cassava (research),4
kadale,4
letus,4
macadamia,4
mandarin (tangerine),4
mapapaya,4
mipoza,4
mphakasa,4
msangu,4
mthethe,4
mulberries,4
palm oil,4
parsley,4
amaranth,3
banana (zambia),3
chammwamba,3
fungu,3
glylicidia,3
green bean,3
india,3
jeke food,3
mandimu,3
