group,n
Maize,46507
Groundnuts,15504
Sorghum,15475
Beans,14140
Cassava,14038
Millets,11476
"Pumpkin, squash and gourds",11406
Bananas,10302
Pigeon peas,8797
"Mangoes, guavas and mangosteens",8789
Sweet potatoes,7814
Cowpeas,5848
NA,5800
Rice,5759
Coffee,4748
Soya beans,4294
"Other roots and tubers, n.e.c.",3921
"Other cereals, n.e.c.",3164
Sesame,2824
Tobacco,2792
Yams,2528
Chillies and peppers (capsicum spp.),2357
"Other crops, n.e.c.",2333
Peas,2277
Cotton,2248
"Other leafy or stem vegetables, n.e.c.",2210
Wheat,2148
Barley,2054
Tomatoes,1913
"Other permanent medicinal, pesticidal or similar crops",1870
Avocados,1865
Broad beans,1752
Cabbages,1393
Sugar cane,1289
Okra,1224
"Other stimulant crops, n.e.c.",1093
Sunflower,1044
Oranges,1000
Onions (incl. shallots),969
Bambara beans,911
Garlic,885
"Other permanent spice and aromatic crops, n.e.c.",820
Papayas,766
Potatoes,658
Chickpeas,551
Niger seed,550
Taro,546
Linseed,500
Rapeseed,493
Fonio,471
Lemons and limes,458
"Other fruits, n.e.c.",421
Lentils,401
Oil palms,317
Peaches and nectarines,314
Vetches,305
Cocoa,264
Cantaloupes and other melons,231
"Other tropical and subtropical fruits, n.e.c.",209
Sugar beet,202
Other vegetables n.e.c.,191
Eggplants (aubergines),160
,159
Ginger,159
"Tangerines mandarins, clementines",145
Basil,141
Cola nuts,132
"Nutmeg, mace, cardamoms",130
"Other temporary medicinal, pesticidal or similar crops",109
Oats,99
Carrots,93
Watermelons,93
Apples,81
"Leguminous crops, n.e.c.",77
Spinach,72
Cucumbers,71
"Other crops, n.e.c. - temporary",70
"Other fruit-bearing vegetables, n.e.c.",70
Tea,69
Cashew nuts,66
Lettuce,54
Cauliflower and broccoli,53
Pears and quinces,49
"Other nuts, n.e.c.",48
"Other temporary spice crops, n.e.c.",45
Permanent grass and fodder crops,44
Vanilla,37
Coconut,29
"Other temporary oilseed crops, n.e.c.",18
"Anise, badian, and fennel",12
"Other oleaginous fruits, n.e.c.",5
Mint,3
Strawberries,3
Walnuts,3
Cinnamon (canella),2
Grapefruit and pomelo,2
Pineapples,2
Plums and sloes,2
Apricots,1
Castor bean,1
Dates,1
Grapes,1
Leeks and other alliaceous vegetables,1
Mustard,1
Other berries n.e.c.,1
Pepper (piper spp.),1
Rubber,1
Temporary grass and fodder crops,1
