crop;group_name;class_name;subclass_name;order;code;group
acha;Cereals;Fonio;Fonio;Fonio;111;Fonio
agbono (oro seed);Fruit and nuts;Nuts;Other nuts, n.e.c.;Other nuts, n.e.c.;30690;Other nuts, n.e.c.
amaranth;Cereals;Other cereals, n.e.c.;Other cereals, n.e.c.;Other cereals, n.e.c.;19;Other cereals, n.e.c.
amboshika;Stimulant, spice and aromatic crops;Spice and aromatic crops;Permanent spice and aromatic crops;Other permanent spice and aromatic crops, n.e.c.;6020290;Other permanent spice and aromatic crops, n.e.c.
apples;Fruit and nuts;Pome fruits and stone fruits;Apples;Apples;30501;Apples
avocado;Fruit and nuts;Tropical and subtropical fruits;Avocados;Avocados;30101;Avocados
bambara groundnut;Leguminous crops;Bambara beans;Bambara beans;Bambara beans;709;Bambara beans
bambara nut;Leguminous crops;Bambara beans;Bambara beans;Bambara beans;709;Bambara beans
banana;Fruit and nuts;Tropical and subtropical fruits;Bananas;Bananas;30102;Bananas
banana (beer);Fruit and nuts;Tropical and subtropical fruits;Bananas;Bananas;30102;Bananas
banana (food);Fruit and nuts;Tropical and subtropical fruits;Bananas;Bananas;30102;Bananas
banana (sweet);Fruit and nuts;Tropical and subtropical fruits;Bananas;Bananas;30102;Bananas
barley;Cereals;Barley;Barley;Barley;105;Barley
bean;Leguminous crops;Beans;Beans;Beans;701;Beans
beer root;Sugar crops;Sugar beet;Sugar beet;Sugar beet;801;Sugar beet
beet;Sugar crops;Sugar beet;Sugar beet;Sugar beet;801;Sugar beet
bitter kola;Fruit and nuts;Nuts;Cola nuts;Cola nuts;30609;Cola nuts
black cumin;Stimulant, spice and aromatic crops;Spice and aromatic crops;Temporary spice and aromatic crops;Other temporary spice crops, n.e.c.;6020190;Other temporary spice crops, n.e.c.
cabbage;Vegetables and Melons;Leafy or stem vegetables;Cabbages;Cabbages;20103;Cabbages
cactus;Fruit and nuts;Tropical and subtropical fruits;Other tropical and subtropical fruits, n.e.c.;Other tropical and subtropical fruits, n.e.c.;30190;Other tropical and subtropical fruits, n.e.c.
calabash;Vegetables and Melons;Fruit-bearing vegetables;Other fruit-bearing vegetables, n.e.c.;Other fruit-bearing vegetables, n.e.c.;20290;Other fruit-bearing vegetables, n.e.c.
cardamon;Stimulant, spice and aromatic crops;Spice and aromatic crops;Permanent spice and aromatic crops;Nutmeg, mace, cardamoms;6020202;Nutmeg, mace, cardamoms
carrot;Vegetables and Melons;Root, bulb or tuberous vegetables;Carrots;Carrots;20301;Carrots
cashew nut;Fruit and nuts;Nuts;Cashew nuts;Cashew nuts;30602;Cashew nuts
cassava;Root/tuber crops with high starch or inulin content;Cassava;Cassava;Cassava;503;Cassava
cassava (old);Root/tuber crops with high starch or inulin content;Cassava;Cassava;Cassava;503;Cassava
castor bean;Oilseed and oleaginous fruits;Other temporary oilseed crops;Castor bean;Castor bean;40301;Castor bean
cauliflower;Vegetables and Melons;Leafy or stem vegetables;Cauliflower and broccoli;Cauliflower and broccoli;20104;Cauliflower and broccoli
celery;Vegetables and Melons;Leafy or stem vegetables;Other leafy or stem vegetables, n.e.c.;Other leafy or stem vegetables, n.e.c.;20190;Other leafy or stem vegetables, n.e.c.
chat;Other crops;Medicinal, pesticidal or similar crops;Permanent medicinal, pesticidal or similar crops;Other permanent medicinal, pesticidal or similar crops;9030290;Other permanent medicinal, pesticidal or similar crops
chick pea;Leguminous crops;Chickpeas;Chickpeas;Chickpeas;703;Chickpeas
chinese cabbage;Vegetables and Melons;Leafy or stem vegetables;Cabbages;Cabbages;20103;Cabbages
cinnamon;Stimulant, spice and aromatic crops;Spice and aromatic crops;Permanent spice and aromatic crops;Cinnamon (canella);6020203;Cinnamon (canella)
citron;Fruit and nuts;Citrus fruits;Lemons and limes;Lemons and limes;30202;Lemons and limes
clover;Other crops;Grasses and other fodder crops;Temporary grass and fodder crops;Temporary grass and fodder crops;90101;Temporary grass and fodder crops
cocoa;Stimulant, spice and aromatic crops;Stimulant crops;Cocoa;Cocoa;60104;Cocoa
cocoa (pod);Stimulant, spice and aromatic crops;Stimulant crops;Cocoa;Cocoa;60104;Cocoa
coconut;Oilseed and oleaginous fruits;Permanent oilseed crops;Coconut;Coconut;40401;Coconut
cocoyam;Root/tuber crops with high starch or inulin content;Taro;Taro;Taro;505;Taro
coffee;Stimulant, spice and aromatic crops;Stimulant crops;Coffee;Coffee;60101;Coffee
coffee (arabica);Stimulant, spice and aromatic crops;Stimulant crops;Coffee;Coffee;60101;Coffee
coffee (robusta);Stimulant, spice and aromatic crops;Stimulant crops;Coffee;Coffee;60101;Coffee
coriander;Other crops;Medicinal, pesticidal or similar crops;Temporary medicinal, pesticidal or similar crops;Other temporary medicinal, pesticidal or similar crops;9030190;Other temporary medicinal, pesticidal or similar crops
corn;Cereals;Maize;Maize;Maize;102;Maize
cotton;Other crops;Fibre crops;Temporary fibre crops;Cotton;9020101;Cotton
cotton (seed);Other crops;Fibre crops;Temporary fibre crops;Cotton;9020101;Cotton
cowpea;Leguminous crops;Cowpeas;Cowpeas;Cowpeas;704;Cowpeas
cowpea (fodder);Leguminous crops;Cowpeas;Cowpeas;Cowpeas;704;Cowpeas
cucumber;Vegetables and Melons;Fruit-bearing vegetables;Cucumbers;Cucumbers;20201;Cucumbers
dah;;;;;NA;
dodo;Fruit and nuts;Tropical and subtropical fruits;Other tropical and subtropical fruits, n.e.c.;Other tropical and subtropical fruits, n.e.c.;30190;Other tropical and subtropical fruits, n.e.c.
eggplant;Vegetables and Melons;Fruit-bearing vegetables;Eggplants (aubergines);Eggplants (aubergines);20202;Eggplants (aubergines)
eggplant (jaxatu);Vegetables and Melons;Fruit-bearing vegetables;Eggplants (aubergines);Eggplants (aubergines);20202;Eggplants (aubergines)
enset;Root/tuber crops with high starch or inulin content;Other roots and tubers, n.e.c.;Other roots and tubers, n.e.c.;Other roots and tubers, n.e.c.;59;Other roots and tubers, n.e.c.
fennel;Stimulant, spice and aromatic crops;Spice and aromatic crops;Temporary spice and aromatic crops;Anise, badian, and fennel;6020102;Anise, badian, and fennel
fenugreek;Stimulant, spice and aromatic crops;Spice and aromatic crops;Permanent spice and aromatic crops;Other permanent spice and aromatic crops, n.e.c.;6020290;Other permanent spice and aromatic crops, n.e.c.
feto;Stimulant, spice and aromatic crops;Spice and aromatic crops;Temporary spice and aromatic crops;Anise, badian, and fennel;6020102;Anise, badian, and fennel
field pea;Leguminous crops;Peas;Peas;Peas;707;Peas
finger millet;Cereals;Millets;Millets;Millets;108;Millets
fonio;Cereals;Fonio;Fonio;Fonio;111;Fonio
garden egg;Vegetables and Melons;Fruit-bearing vegetables;Eggplants (aubergines);Eggplants (aubergines);20202;Eggplants (aubergines)
garlic;Vegetables and Melons;Root, bulb or tuberous vegetables;Garlic;Garlic;20303;Garlic
gesho;Stimulant, spice and aromatic crops;Stimulant crops;Other stimulant crops, n.e.c.;Other stimulant crops, n.e.c.;60190;Other stimulant crops, n.e.c.
gibto;Other crops;Other crops, n.e.c.;Other crops, n.e.c. - temporary;Other crops, n.e.c. - temporary;99001;Other crops, n.e.c. - temporary
ginger;Stimulant, spice and aromatic crops;Spice and aromatic crops;Permanent spice and aromatic crops;Ginger;6020205;Ginger
gishita;Stimulant, spice and aromatic crops;Spice and aromatic crops;Permanent spice and aromatic crops;Other permanent spice and aromatic crops, n.e.c.;6020290;Other permanent spice and aromatic crops, n.e.c.
godere;Root/tuber crops with high starch or inulin content;Other roots and tubers, n.e.c.;Other roots and tubers, n.e.c.;Other roots and tubers, n.e.c.;59;Other roots and tubers, n.e.c.
grapefruit;Fruit and nuts;Citrus fruits;Grapefruit and pomelo;Grapefruit and pomelo;30201;Grapefruit and pomelo
grapes;Fruit and nuts;Grapes;Grapes;Grapes;303;Grapes
grazing land;Other crops;Grasses and other fodder crops;Permanent grass and fodder crops;Permanent grass and fodder crops;90102;Permanent grass and fodder crops
green bean;Leguminous crops;Beans;Beans;Beans;701;Beans
green sorrel;Vegetables and Melons;Leafy or stem vegetables;Other leafy or stem vegetables, n.e.c.;Other leafy or stem vegetables, n.e.c.;20190;Other leafy or stem vegetables, n.e.c.
green vegetable;Vegetables and Melons;Leafy or stem vegetables;Other leafy or stem vegetables, n.e.c.;Other leafy or stem vegetables, n.e.c.;20190;Other leafy or stem vegetables, n.e.c.
ground bean;Leguminous crops;Bambara beans;Bambara beans;Bambara beans;709;Bambara beans
groundnut (peanut);Oilseed and oleaginous fruits;Groundnuts;Groundnuts;Groundnuts;402;Groundnuts
groundnut (shelled);Oilseed and oleaginous fruits;Groundnuts;Groundnuts;Groundnuts;402;Groundnuts
groundnut (unshelled);Oilseed and oleaginous fruits;Groundnuts;Groundnuts;Groundnuts;402;Groundnuts
guava;Fruit and nuts;Tropical and subtropical fruits;Mangoes, guavas and mangosteens;Mangoes, guavas and mangosteens;30106;Mangoes, guavas and mangosteens
guinea corn (sorghum);Cereals;Sorghum;Sorghum;Sorghum;104;Sorghum
haricot bean;Leguminous crops;Beans;Beans;Beans;701;Beans
horse bean;Leguminous crops;Broad beans;Broad beans;Broad beans;702;Broad beans
irish potato;Root/tuber crops with high starch or inulin content;Potatoes;Potatoes;Potatoes;501;Potatoes
jackfruit;Fruit and nuts;Tropical and subtropical fruits;Other tropical and subtropical fruits, n.e.c.;Other tropical and subtropical fruits, n.e.c.;30190;Other tropical and subtropical fruits, n.e.c.
kale;Vegetables and Melons;Leafy or stem vegetables;Other leafy or stem vegetables, n.e.c.;Other leafy or stem vegetables, n.e.c.;20190;Other leafy or stem vegetables, n.e.c.
kazmir;Stimulant, spice and aromatic crops;Spice and aromatic crops;Temporary spice and aromatic crops;Chillies and peppers (capsicum spp.);6020101;Chillies and peppers (capsicum spp.)
kolanut;Fruit and nuts;Nuts;Cola nuts;Cola nuts;30609;Cola nuts
kolanut (unshelled);Fruit and nuts;Nuts;Cola nuts;Cola nuts;30609;Cola nuts
leek;Vegetables and Melons;Root, bulb or tuberous vegetables;Leeks and other alliaceous vegetables;Leeks and other alliaceous vegetables;20305;Leeks and other alliaceous vegetables
lemon;Fruit and nuts;Citrus fruits;Lemons and limes;Lemons and limes;30202;Lemons and limes
lentil;Leguminous crops;Lentils;Lentils;Lentils;705;Lentils
lettuce;Vegetables and Melons;Leafy or stem vegetables;Lettuce;Lettuce;20105;Lettuce
letus;Vegetables and Melons;Leafy or stem vegetables;Lettuce;Lettuce;20105;Lettuce
lime;Fruit and nuts;Citrus fruits;Lemons and limes;Lemons and limes;30202;Lemons and limes
lineseed;Oilseed and oleaginous fruits;Other temporary oilseed crops;Linseed;Linseed;40302;Linseed
maize;Cereals;Maize;Maize;Maize;102;Maize
maize (shelled/ grain);Cereals;Maize;Maize;Maize;102;Maize
maize (unshelled/ cob);Cereals;Maize;Maize;Maize;102;Maize
mandarin;Fruit and nuts;Citrus fruits;Tangerines mandarins, clementines;Tangerines mandarins, clementines;30204;Tangerines mandarins, clementines
mandarin (tangerine);Fruit and nuts;Citrus fruits;Tangerines mandarins, clementines;Tangerines mandarins, clementines;30204;Tangerines mandarins, clementines
mango;Fruit and nuts;Tropical and subtropical fruits;Mangoes, guavas and mangosteens;Mangoes, guavas and mangosteens;30106;Mangoes, guavas and mangosteens
melon;Vegetables and Melons;Melons;Cantaloupes and other melons;Cantaloupes and other melons;20502;Cantaloupes and other melons
melon (egusi);Vegetables and Melons;Melons;Cantaloupes and other melons;Cantaloupes and other melons;20502;Cantaloupes and other melons
melon (unshelled);Vegetables and Melons;Melons;Cantaloupes and other melons;Cantaloupes and other melons;20502;Cantaloupes and other melons
millet;Cereals;Millets;Millets;Millets;108;Millets
millet (maiwa);Cereals;Millets;Millets;Millets;108;Millets
mint;Other crops;Medicinal, pesticidal or similar crops;Temporary medicinal, pesticidal or similar crops;Mint;9030101;Mint
mung bean (masho);Leguminous crops;Beans;Beans;Beans;701;Beans
mustard;Oilseed and oleaginous fruits;Other temporary oilseed crops;Mustard;Mustard;40303;Mustard
NA;;;;;NA;
nueg;Oilseed and oleaginous fruits;Other temporary oilseed crops;Niger seed;Niger seed;40304;Niger seed
oat;Cereals;Oats;Oats;Oats;107;Oats
oil bean;Oilseed and oleaginous fruits;Permanent oilseed crops;Other oleaginous fruits, n.e.c.;Other oleaginous fruits, n.e.c.;40490;Other oleaginous fruits, n.e.c.
oil palm;Oilseed and oleaginous fruits;Permanent oilseed crops;Oil palms;Oil palms;40403;Oil palms
okro;Vegetables and Melons;Fruit-bearing vegetables;Okra;Okra;20205;Okra
onion;Vegetables and Melons;Root, bulb or tuberous vegetables;Onions (incl. shallots);Onions (incl. shallots);20304;Onions (incl. shallots)
orange;Fruit and nuts;Citrus fruits;Oranges;Oranges;30203;Oranges
other;Other crops;Other crops, n.e.c.;Other crops, n.e.c.;Other crops, n.e.c.;99;Other crops, n.e.c.
other (cash crop);;;;;NA;
other (cereals);Cereals;Other cereals, n.e.c.;Other cereals, n.e.c.;Other cereals, n.e.c.;19;Other cereals, n.e.c.
other (fruits);Fruit and nuts;Other fruits, n.e.c.;Other fruits, n.e.c.;Other fruits, n.e.c.;39;Other fruits, n.e.c.
other (land);;;;;NA;
other (oil seed);Oilseed and oleaginous fruits;Other temporary oilseed crops;Other temporary oilseed crops, n.e.c.;Other temporary oilseed crops, n.e.c.;40390;Other temporary oilseed crops, n.e.c.
other (pulses);Leguminous crops;Leguminous crops, n.e.c.;Leguminous crops, n.e.c.;Leguminous crops, n.e.c.;79;Leguminous crops, n.e.c.
other (root c);Root/tuber crops with high starch or inulin content;Other roots and tubers, n.e.c.;Other roots and tubers, n.e.c.;Other roots and tubers, n.e.c.;59;Other roots and tubers, n.e.c.
other (spices);Stimulant, spice and aromatic crops;Spice and aromatic crops;Permanent spice and aromatic crops;Other permanent spice and aromatic crops, n.e.c.;6020290;Other permanent spice and aromatic crops, n.e.c.
other (vegetables);Vegetables and Melons;Other vegetables, n.e.c.;Other vegetables, n.e.c.;Other vegetables, n.e.c.;29;Other vegetables n.e.c.
paddy (unshelled rice);Cereals;Rice;Rice;Rice;103;Rice
palm kernel;Oilseed and oleaginous fruits;Permanent oilseed crops;Oil palms;Oil palms;40403;Oil palms
palm oil;Oilseed and oleaginous fruits;Permanent oilseed crops;Oil palms;Oil palms;40403;Oil palms
papaya;Fruit and nuts;Tropical and subtropical fruits;Papayas;Papayas;30107;Papayas
paprika;Stimulant, spice and aromatic crops;Spice and aromatic crops;Temporary spice and aromatic crops;Chillies and peppers (capsicum spp.);6020101;Chillies and peppers (capsicum spp.)
parsley;Stimulant, spice and aromatic crops;Spice and aromatic crops;Temporary spice and aromatic crops;Other temporary spice crops, n.e.c.;6020190;Other temporary spice crops, n.e.c.
passion fruit;Fruit and nuts;Tropical and subtropical fruits;Other tropical and subtropical fruits, n.e.c.;Other tropical and subtropical fruits, n.e.c.;30190;Other tropical and subtropical fruits, n.e.c.
pawpaw;Fruit and nuts;Tropical and subtropical fruits;Papayas;Papayas;30107;Papayas
pea;Leguminous crops;Peas;Peas;Peas;707;Peas
peach;Fruit and nuts;Pome fruits and stone fruits;Peaches and nectarines;Peaches and nectarines;30505;Peaches and nectarines
pear;Fruit and nuts;Pome fruits and stone fruits;Pears and quinces;Pears and quinces;30505;Pears and quinces
pearl millet;Cereals;Millets;Millets;Millets;108;Millets
pepper;Stimulant, spice and aromatic crops;Spice and aromatic crops;Temporary spice and aromatic crops;Chillies and peppers (capsicum spp.);6020101;Chillies and peppers (capsicum spp.)
pepper (bell);Stimulant, spice and aromatic crops;Spice and aromatic crops;Temporary spice and aromatic crops;Chillies and peppers (capsicum spp.);6020101;Chillies and peppers (capsicum spp.)
pepper (black);Stimulant, spice and aromatic crops;Spice and aromatic crops;Permanent spice and aromatic crops;Pepper (piper spp.);6020201;Pepper (piper spp.)
pepper (chilli);Stimulant, spice and aromatic crops;Spice and aromatic crops;Temporary spice and aromatic crops;Chillies and peppers (capsicum spp.);6020101;Chillies and peppers (capsicum spp.)
pepper (chilli/ shombo);Stimulant, spice and aromatic crops;Spice and aromatic crops;Temporary spice and aromatic crops;Chillies and peppers (capsicum spp.);6020101;Chillies and peppers (capsicum spp.)
