Country,Year,Adm level 1,Adm level 2,Adm level 3,Adm level 4,Households,Plots,Crops,Planting month,Start of harvest,End of harvest
Ethiopia,2011,10,56,178,0,2828,29303,86,83.6,10.6,10.5
Ethiopia,2013,10,56,186,0,3009,30415,77,72.8,87.0,86.9
Ethiopia,2015,10,56,185,0,2901,30341,79,53.0,85.3,85.3
Ethiopia,2018,10,47,61,0,2062,17013,79,66.2,60.1,60.0
Malawi,2010,3,31,0,0,10274,35518,40,82.6,97.5,97.5
Malawi,2013,3,31,0,0,2619,13899,38,80.3,87.9,88.0
Malawi,2016,3,32,0,0,9886,31433,69,87.2,97.6,98.9
Malawi,2019,3,32,0,0,9241,43590,91,82.1,95.7,96.8
Mali,2014,8,44,247,0,2265,10052,32,100.0,95.4,93.4
Mali,2017,8,49,371,0,6230,24926,33,100.0,100.0,95.2
Niger,2011,8,34,0,0,2278,12655,36,100.0,0.0,0.0
Niger,2014,8,35,18,0,2105,11944,39,100.0,77.4,77.3
Nigeria,2015,6,37,350,0,2867,11810,59,90.9,84.1,76.5
Nigeria,2018,6,37,350,0,3456,15270,52,92.6,71.5,64.9
Nigeria,2023,6,37,374,0,3322,10553,48,0.0,0.0,0.0
Uganda,2011,103,172,367,500,2383,57272,39,97.7,19.9,19.9
Uganda,2013,4,101,388,516,2437,21379,46,89.8,72.6,72.7
Uganda,2015,102,439,629,886,2607,22782,44,28.1,21.7,24.0
Uganda,2018,116,428,605,797,2584,15758,45,87.1,77.9,78.2
Uganda,2019,120,436,633,0,2473,16403,43,89.7,71.7,72.2
