cropID,cropID
Rice,120
Maize,130
Finger millet,141
Sorghum,150
Beans,210
Field peas,221
Cow peas,222
Pigeon peas,223
Chick peas,224
Groundnuts,310
Soya beans,320
Sun flower,330
Simsim,340
Cabbage,410
Tomatoes,420
Onions,440
Pumpkins,450
Dodo,460
Eggplants,470
Sugarcane,510
Cotton,520
Tobbaco,530
Irish potatoes,610
Sweet potatoes,620
Cassava,630
Yam,640
Oranges,700
Paw paw,710
Pineapples,720
Banana food,741
Banana beer,742
Banana sweet,744
Mango,750
Jackfruit,760
Avacoda,770
Passion fruit,780
Coffee all,810
Cocoa,820
Tea,830
Vanilla,870
Others,890
