hhID,crop,planting_month,planting_year,plotID,harvest_month_begin,harvest_month_end,harvest_year_begin,harvest_year_end,plot_area_reported_localUnit,localUnit_area,plot_area_reported_ha,season,harvest_month,harvest_year,adm4,fieldID,dataset_name,country,dataset_doi
101,barbare,7,2005,1_2,6,6,2006,2006,0.25,3,0.0625,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
101,buna,NA,NA,1_3,89,NA,NA,NA,0.12,3,0.03,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
101,teff,1,2006,2_1,4,4,2006,2006,3,3,0.75,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
102,buna,NA,NA,1_2,89,NA,NA,NA,4,3,1,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
102,inset,NA,NA,1_2,5,6,2005,2006,4,3,1,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
102,muz,NA,NA,1_2,4,6,2006,2006,4,3,1,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
103,buna,NA,NA,1_2,5,5,2006,2006,2,3,0.5,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
103,sukar dinich,1,2006,1_2,4,4,2006,2006,2,3,0.5,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
103,inset,NA,NA,1_2,3,5,2006,2006,2,3,0.5,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
104,kara,10,2005,1_2,2,5,2006,2006,1,4,NA,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
104,boloke,12,2005,1_3,3,4,2006,2006,0.5,3,0.125,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
104,gabisi,12,2005,1_4,4,5,2006,2006,2,4,NA,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
104,teff,1,2006,1_5,4,5,2006,2006,1,3,0.25,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
104,bun,NA,NA,3_1,3,4,2006,2006,0.5,3,0.125,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
104,esati,NA,NA,3_2,89,NA,NA,NA,0.5,3,0.125,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
105,bol0ke,12,2005,1_2,3,3,2006,2006,0.12,3,0.03,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
105,sukari dinichi,9,2005,1_3,3,6,2006,2006,0.5,3,0.125,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
105,boloke,12,2005,1_4,3,3,2006,2006,0.5,3,0.125,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
105,bakela,12,2005,1_4,4,4,2006,2006,0.5,3,0.125,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
105,bun,NA,NA,1_5,4,4,2006,2006,1,3,0.25,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
105,enisati,NA,NA,1_5,89,NA,NA,NA,1,3,0.25,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
105,bun,NA,NA,2_1,89,NA,NA,NA,1,3,0.25,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
105,teff,1,2006,3_1,4,4,2006,2006,3,3,0.75,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
105,gebisi,12,2005,3_2,3,4,2006,2006,1,3,0.25,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
106,beribere,7,2005,1_2,2,5,2006,2006,0.12,3,0.03,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
106,boloke,12,2005,1_4,4,4,2006,2006,1,3,0.25,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
106,sikuri dinich,7,2005,1_5,3,6,2006,2006,1,3,0.25,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
106,bokolo,7,2005,2_1,1,2,2006,2006,1,3,0.25,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
106,bun,NA,NA,2_2,89,NA,NA,NA,0.25,3,0.0625,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
106,bokolo,7,2005,3_1,2,2,2006,2006,1,3,0.25,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
107,boloqe,1,2006,1_2,3,3,2006,2006,0.75,3,0.1875,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
107,buna,NA,NA,1_3,3,4,2006,2006,2,3,0.5,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
108,mashila,11,2005,1_2,4,4,2006,2006,1,3,0.25,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
108,boloqe,1,2006,1_2,4,4,2006,2006,1,3,0.25,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
108,buna,NA,NA,1_3,89,NA,NA,NA,2,3,0.5,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
108,gabsi,12,2005,1_4,4,4,2006,2006,0.25,3,0.0625,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
108,berbrree,8,2005,1_5,3,4,2006,2006,0.25,3,0.0625,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
108,muzi,NA,NA,1_6,3,5,2006,2006,0.5,3,0.125,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
108,gabsi,12,2005,2_1,4,4,2006,2006,1,3,0.25,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
108,xeff,3,2006,2_2,4,4,2006,2006,2,3,0.5,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
109,boloqe,1,2006,1_3,4,4,2006,2006,0.5,3,0.125,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
109,bernrre,5,2006,1_4,89,NA,NA,NA,0.5,3,0.125,NA,NA,NA,NA,NA,ETH_2013_LASER_v02_M ,Ethiopia,https://doi.org/10.48529/9pwg-as66
