hhID,fieldID,plotID,crop,crop_area_share,planting_month,planting_year,harvest_month_begin,harvest_month_end,adm1,adm2,adm3,lat,lon,GPS_level,plot_area_reported_localUnit,localUnit_area,plot_area_measured_ha,plot_area_reported_ha,season,harvest_month,harvest_year,harvest_year_begin,harvest_year_end,adm4,dataset_name,country,dataset_doi
010101088800910007,1,2,sorghum,NA,6,2010,11,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,0.75,3. Timad,0.16247999999999999,0.1875,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910007,1,3,maize,NA,6,2010,9,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,5,7. Tilm,0.055366,NA,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910017,1,2,sorghum,NA,6,2010,10,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,4,7. Tilm,0.031219999999999998,NA,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910017,1,3,red pepper,NA,6,2010,9,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,4,8. Medeb,0.00173,NA,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910017,2,1,sorghum,NA,6,2010,11,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,1,3. Timad,0.213534,0.25,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910038,1,2,maize,NA,5,2010,9,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,2,7. Tilm,0.023071,NA,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910038,2,1,sorghum,NA,6,2010,11,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,4,3. Timad,0.863241,1,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910038,2,2,maize,NA,6,2010,9,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,2,7. Tilm,0.024531,NA,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910038,3,1,millet,NA,5,2010,10,12,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,6,1. Hectare,1.203407,6,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910038,3,2,sesame,NA,7,2010,10,10,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,7,3. Timad,1.319446,1.75,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910038,4,1,mangos,5,NA,NA,NA,NA,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,3,3. Timad,0.5605899999999999,0.75,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910038,4,1,sesame,95,7,2010,10,10,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,3,3. Timad,0.5605899999999999,0.75,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910038,4,2,papaya,90,NA,NA,NA,NA,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,2,7. Tilm,0.013431,NA,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910038,4,2,coffee,10,NA,NA,NA,NA,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,2,7. Tilm,0.013431,NA,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910038,4,3,red pepper,NA,4,2010,9,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,20,8. Medeb,0.018550999999999998,NA,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910054,2,1,sorghum,NA,6,2010,11,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,1,3. Timad,0.31123,0.25,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910054,2,2,sesame,NA,6,2010,10,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,11,8. Medeb,0.035623,NA,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910062,1,2,millet,NA,5,2010,10,12,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,1,3. Timad,0.27394,0.25,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910062,1,3,sorghum,NA,6,2010,11,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,1.5,3. Timad,0.33634000000000003,0.375,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910062,1,4,red pepper,NA,6,2010,9,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,13,8. Medeb,0.019132,NA,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910062,1,5,sorghum,NA,6,2010,11,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,2,7. Tilm,0.012541,NA,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910062,1,6,maize,NA,6,2010,9,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,3,7. Tilm,0.049214,NA,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910062,2,1,sesame,NA,6,2010,10,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,2.5,3. Timad,0.569234,0.625,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910062,2,2,sorghum,NA,6,2010,11,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,4,3. Timad,0.879237,1,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910062,3,1,sesame,NA,7,2010,10,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,1,3. Timad,0.19823,0.25,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910062,4,1,sesame,NA,7,2010,10,10,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,1.5,3. Timad,0.259381,0.375,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910070,1,2,millet,NA,5,2010,10,12,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,1.5,3. Timad,0.32342,0.375,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910070,1,3,sorghum,NA,6,2010,11,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,1.5,3. Timad,0.343208,0.375,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910070,1,4,red pepper,NA,6,2010,9,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,6,3. Timad,0.007245000000000001,1.5,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910070,1,6,maize,NA,6,2010,9,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,5,7. Tilm,0.037933999999999996,NA,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910070,2,1,sesame,NA,6,2010,10,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,1,3. Timad,0.15674100000000002,0.25,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910082,1,2,red pepper,NA,6,2010,9,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,20,8. Medeb,0.005677000000000001,NA,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910082,2,1,sorghum,NA,6,2010,11,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,2,1. Hectare,1.9175509999999998,2,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910082,3,1,millet,NA,6,2010,10,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,1.5,3. Timad,0.245621,0.375,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910082,3,2,sesame,NA,7,2010,10,10,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,2,3. Timad,0.41062299999999996,0.5,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910093,1,2,sorghum,NA,6,2010,11,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,1.5,3. Timad,0.39563000000000004,0.375,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910093,1,3,millet,NA,5,2010,10,12,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,1,3. Timad,0.213437,0.25,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910093,1,4,red pepper,NA,7,2010,9,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,10,8. Medeb,0.012368,NA,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010101088800910093,1,5,maize,NA,6,2010,9,11,Tigray,North Western Tigray,Tahitay Adiyabo,14.2583084106445,37.8096542358398,3,3,7. Tilm,0.05312000000000001,NA,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010102088801010035,1,2,maize,NA,6,2010,11,11,Tigray,North Western Tigray,Laelay Adiabo,14.3759126663208,38.1548881530762,3,80,2. Square Meters,0.008745999999999999,0.008,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010102088801010048,1,2,maize,NA,6,2010,10,11,Tigray,North Western Tigray,Laelay Adiabo,14.3759126663208,38.1548881530762,3,100,2. Square Meters,0.005215999999999999,0.01,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010102088801010068,1,2,maize,NA,5,2010,11,12,Tigray,North Western Tigray,Laelay Adiabo,14.3759126663208,38.1548881530762,3,1.5,3. Timad,0.39409,0.375,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010102088801010068,1,3,millet,NA,4,2010,11,12,Tigray,North Western Tigray,Laelay Adiabo,14.3759126663208,38.1548881530762,3,0.25,3. Timad,0.11356,0.0625,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010102088801010068,1,4,lemons,NA,NA,NA,NA,NA,Tigray,North Western Tigray,Laelay Adiabo,14.3759126663208,38.1548881530762,3,4,2. Square Meters,6.86e-4,4e-4,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
010102088801010068,2,1,teff,NA,7,2010,11,12,Tigray,North Western Tigray,Laelay Adiabo,14.3759126663208,38.1548881530762,3,6,3. Timad,0.8449,1.5,NA,NA,NA,NA,NA,NA,ETH_2018_ESS_v03_M,Ethiopia,https://doi.org/10.48529/k739-c548
