country,adm1,adm2,adm3,adm4,lat,lon,GPS_level,hhID,fieldID,plotID,crop,season,plot_area_measured_ha,plot_area_reported_ha,plot_area_reported_localUnit,localUnit_area,crop_area_share,planting_year,planting_month,harvest_month,harvest_year,harvest_month_begin,harvest_month_end,harvest_year_begin,harvest_year_end,dataset_name,dataset_doi
Mali,Kayes,kayes,GORY GOPELA,NA,14.6111907855,-11.3652868033,3,1_2,1,1,Peanut,NA,3,100,NA,NA,100,NA,7,NA,NA,11,NA,2017,2017,MLI_2017_EAC-I_v03_M,https://doi.org/10.48529/0v50-h966
Mali,Kayes,kayes,GORY GOPELA,NA,14.6111907855,-11.3652868033,3,1_3,1,1,Sorghum,NA,167,100,NA,NA,100,NA,7,NA,NA,11,11,2017,2017,MLI_2017_EAC-I_v03_M,https://doi.org/10.48529/0v50-h966
Mali,Kayes,kayes,GORY GOPELA,NA,14.6111907855,-11.3652868033,3,1_4,6,1,Peanut,NA,15.8,50,NA,NA,100,NA,7,NA,NA,10,10,2017,2017,MLI_2017_EAC-I_v03_M,https://doi.org/10.48529/0v50-h966
Mali,Kayes,kayes,GORY GOPELA,NA,14.6111907855,-11.3652868033,3,1_5,3,1,Peanut,NA,9,50,NA,NA,100,NA,7,NA,NA,11,11,2017,2017,MLI_2017_EAC-I_v03_M,https://doi.org/10.48529/0v50-h966
Mali,Kayes,kayes,GORY GOPELA,NA,14.6111907855,-11.3652868033,3,1_6,3,1,Peanut,NA,15,50,NA,NA,100,NA,7,NA,NA,10,NA,2017,2017,MLI_2017_EAC-I_v03_M,https://doi.org/10.48529/0v50-h966
Mali,Kayes,kayes,GORY GOPELA,NA,14.6111907855,-11.3652868033,3,1_7,3,1,Peanut,NA,20,100,NA,NA,100,NA,7,NA,NA,11,11,2017,2017,MLI_2017_EAC-I_v03_M,https://doi.org/10.48529/0v50-h966
Mali,Kayes,kayes,GORY GOPELA,NA,14.6111907855,-11.3652868033,3,1_8,3,1,Sorghum,NA,15,50,NA,NA,100,NA,7,NA,NA,11,NA,2017,2017,MLI_2017_EAC-I_v03_M,https://doi.org/10.48529/0v50-h966
Mali,Kayes,kayes,GORY GOPELA,NA,14.6111907855,-11.3652868033,3,1_9,3,1,Cowpea,NA,15,50,NA,NA,100,NA,7,NA,NA,10,NA,2017,2017,MLI_2017_EAC-I_v03_M,https://doi.org/10.48529/0v50-h966
Mali,Kayes,kayes,GORY GOPELA,NA,14.5785269451,-11.3795467759,3,2_1,2,1,Sorghum,NA,12,6,NA,NA,100,NA,6,NA,NA,11,11,2017,2017,MLI_2017_EAC-I_v03_M,https://doi.org/10.48529/0v50-h966
Mali,Kayes,kayes,GORY GOPELA,NA,14.5785269451,-11.3795467759,3,2_2,2,1,Corn,NA,4,2,NA,NA,100,NA,6,NA,NA,9,9,2017,2017,MLI_2017_EAC-I_v03_M,https://doi.org/10.48529/0v50-h966
Mali,Kayes,kayes,GORY GOPELA,NA,14.5785269451,-11.3795467759,3,2_3,1,1,Corn,NA,35,19,NA,NA,100,NA,7,NA,NA,9,10,2017,2017,MLI_2017_EAC-I_v03_M,https://doi.org/10.48529/0v50-h966
Mali,Kayes,kayes,GORY GOPELA,NA,14.5785269451,-11.3795467759,3,2_4,2,1,Sorghum,NA,545.16,545,NA,NA,100,NA,7,NA,NA,11,11,2017,2017,MLI_2017_EAC-I_v03_M,https://doi.org/10.48529/0v50-h966
Mali,Kayes,kayes,GORY GOPELA,NA,14.5785269451,-11.3795467759,3,2_5,2,1,Corn,NA,571,307,NA,NA,100,NA,7,NA,NA,7,7,2017,2017,MLI_2017_EAC-I_v03_M,https://doi.org/10.48529/0v50-h966
Mali,Kayes,kayes,GORY GOPELA,NA,14.5785269451,-11.3795467759,3,2_6,3,2,Peanut,NA,25,25,NA,NA,100,NA,7,NA,NA,10,10,2017,2017,MLI_2017_EAC-I_v03_M,https://doi.org/10.48529/0v50-h966
Mali,Kayes,kayes,GORY GOPELA,NA,14.5785269451,-11.3795467759,3,2_7,1,1,Sorghum,NA,248,128,NA,NA,100,NA,7,NA,NA,11,11,2017,2017,MLI_2017_EAC-I_v03_M,https://doi.org/10.48529/0v50-h966
Mali,Kayes,kayes,GORY GOPELA,NA,14.5785269451,-11.3795467759,3,2_8,2,1,Sorghum,NA,57.99999999999999,30,NA,NA,100,NA,7,NA,NA,11,NA,2017,2017,MLI_2017_EAC-I_v03_M,https://doi.org/10.48529/0v50-h966
Mali,Kayes,kayes,GORY GOPELA,NA,14.5785269451,-11.3795467759,3,2_9,1,2,Corn,NA,78,42,NA,NA,100,NA,7,NA,NA,9,10,2017,2017,MLI_2017_EAC-I_v03_M,https://doi.org/10.48529/0v50-h966
Mali,Kayes,kayes,bangassi,NA,14.5727195171,-11.5036226588,3,3_1,1,1,Sorghum,NA,66,34.449999999999996,NA,NA,100,NA,8,NA,NA,11,NA,2017,2017,MLI_2017_EAC-I_v03_M,https://doi.org/10.48529/0v50-h966
Mali,Kayes,kayes,bangassi,NA,14.5727195171,-11.5036226588,3,3_2,1,1,Sorghum,NA,229,118,NA,NA,100,NA,6,NA,NA,11,NA,2017,2017,MLI_2017_EAC-I_v03_M,https://doi.org/10.48529/0v50-h966
