country,adm1,adm2,adm3,adm4,lat,lon,GPS_level,hhID,fieldID,plotID,crop,plot_area_measured_ha,plot_area_reported_ha,plot_area_reported_localUnit,localUnit_area,crop_area_share,planting_year,planting_month,harvest_year_begin,harvest_month_begin,harvest_year_end,harvest_month_end,harvest_year,harvest_month,dataset_name,dataset_doi
Malawi,southern,phalombe,,,-15.64112,35.708019,3,309066830084,rg01,r01,maize,0.3197016573659326,0.1011714105588394,0.25,acre,87.5,2018.0,12.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,blantyre,,,,,3,305015790067,rg01,r01,maize,,0.8093712844707154,2.0,acre,87.5,2018.0,12.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,northern,chitipa,,,-9.6321297,33.413269,3,101011040115,rg01,r01,maize,0.2670925238753361,0.2023428211176788,0.5,acre,87.5,2017.0,12.0,,7.0,,7.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,mulanje,,,-15.93775,35.461761,3,308016420176,rg01,r01,maize,0.0242811385341214,0.2023428211176788,0.5,acre,75.0,2019.0,11.0,,3.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,mulanje,,,-16.12184,35.546711,3,308016450217,rg01,r01,maize,0.05665598991295,0.1214056926706073,0.3,acre,87.5,2018.0,12.0,,3.0,,3.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,mulanje,,,-15.93775,35.461761,3,308016420214,rg01,r01,maize,0.2306708160741538,0.2023428211176788,0.5,acre,75.0,2018.0,11.0,,3.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,chiradzulu,,,-15.5765,35.142239,3,304015530009,rg01,r01,maize,0.3116079445212254,0.8093712844707154,2.0,acre,12.5,2018.0,11.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,northern,rumphi,,,-10.83773,33.972679,3,104031770028,rg01,r01,maize,0.0526091334905965,0.2023428211176788,0.5,acre,87.5,2017.0,12.0,,6.0,,6.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,northern,chitipa,,,-10.25784,33.615372,3,101061160033,rg01,r01,maize,1.2059632138613658,0.4046856422353577,1.0,acre,87.5,2017.0,12.0,,6.0,,6.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,mulanje,,,-15.84908,35.348839,3,308066610065,rg01,r01,maize,0.133546261937668,0.2023428211176788,0.5,acre,75.0,2018.0,11.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,blantyre,,,-15.58487,35.098911,3,305055870068,rg01,r01,maize,0.1982959646953252,0.4046856422353577,1.0,acre,75.0,2018.0,4.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,thyolo,,,-15.95613,35.242611,3,307136390060,rg01,r01,maize,0.105218266981193,0.2023428211176788,0.5,acre,75.0,2018.0,11.0,,3.0,,3.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,zomba,,,-15.51893,35.46973,3,303025360033,rg01,r01,maize,0.0161874256894143,0.1011714105588394,0.25,acre,87.5,2018.0,12.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,thyolo,,,-16.106649,35.306301,3,307076270126,rg01,r01,maize,0.0445154206458893,0.1214056926706073,0.3,acre,87.5,2018.0,11.0,,3.0,,3.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,central,lilongwe,,,-13.9507,33.94817,3,206063630061,rg01,r01,maize,0.2023428211176788,0.2023428211176788,0.5,acre,87.5,2017.0,12.0,,5.0,,5.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,thyolo,,,-15.88186,35.169209,3,307106330066,rg01,r01,maize,0.0364217078011821,0.4046856422353577,1.0,acre,87.5,2018.0,11.0,,3.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,chiradzulu,,,-15.78346,35.22287,3,304075700183,rg01,r01,maize,0.0161874256894143,0.1011714105588394,0.25,acre,87.5,2017.0,11.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,northern,chitipa,,,-9.7176504,33.393131,3,101011030072,rg01,r01,maize,0.3601702215894684,0.4046856422353577,1.0,acre,87.5,2018.0,12.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,northern,rumphi,,,-10.8398,33.44738,3,104091860113,rg01,r01,maize,0.0728434156023643,0.1011714105588394,0.25,acre,,2019.0,1.0,,8.0,,9.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,central,lilongwe,,,-14.18972,33.71381,3,206053600258,rg01,r01,maize,0.0404685642235357,0.1011714105588394,0.25,acre,87.5,2018.0,10.0,,5.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,northern,mzimba,,,-11.98904,33.584549,3,105062020070,rg01,r01,maize,0.1254525490929608,0.1011714105588394,0.25,acre,87.5,2018.0,12.0,,7.0,,7.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,phalombe,,,-15.70231,35.706451,3,309066840126,rg01,r01,maize,0.1254525490929608,0.1011714105588394,0.25,acre,87.5,2018.0,11.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,mulanje,,,-15.70128,35.37759,3,308066590069,rg01,r01,maize,0.2913736624094575,0.2023428211176788,0.5,acre,87.5,2018.0,11.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,phalombe,,,-15.78855,35.608829,3,309016700087,rg01,r01,maize,0.3237485137882862,0.3035142316765182,0.75,acre,87.5,2018.0,12.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,central,nkhotakota,,,-13.43097,34.233231,3,202062800052,rg01,r01,maize,0.1416399747823752,0.6070284633530365,1.5,acre,,2018.0,12.0,,5.0,,6.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,northern,likoma,,,-12.02279,34.62233,3,106012110053,rg01,r01,maize,0.0404685642235357,0.1011714105588394,0.25,acre,,2018.0,1.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,phalombe,,,-15.53142,35.796841,3,309036740096,rg01,r01,maize,0.3723107908565291,0.4046856422353577,1.0,acre,87.5,2017.0,11.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,neno,,,-15.24397,34.65694,3,313017540138,rg01,r01,maize,1.1735883624825372,0.6070284633530365,1.5,acre,75.0,2018.0,11.0,,5.0,,5.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,central,mchinji,,,-13.61252,33.22863,3,207124050213,rg01,r01,maize,0.9307769771413226,0.6070284633530365,1.5,acre,87.5,2017.0,11.0,,3.0,,3.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,mulanje,,,-16.00411,35.441521,3,308036490158,rg01,r01,maize,0.05665598991295,0.2023428211176788,0.5,acre,75.0,2019.0,12.0,,3.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,mulanje,,,-15.95942,35.423038,3,308056580221,rg01,r01,maize,0.0445154206458893,0.1214056926706073,0.3,acre,87.5,2017.0,11.0,,3.0,,3.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,northern,mzimba,,,-12.27964,33.457119,3,105011920081,rg01,r01,maize,0.5584661862847936,0.2023428211176788,0.5,acre,87.5,2018.0,12.0,,8.0,,8.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,phalombe,,,-15.74615,35.61372,3,309016650197,rg01,r01,maize,0.1497336876270823,0.1011714105588394,0.25,acre,87.5,2019.0,12.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,zomba,,,-15.44637,35.465641,3,303025330307,rg01,r01,maize,0.0121405692670607,0.2023428211176788,0.5,acre,,2017.0,11.0,,3.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
