hhID,grappe,adm1,adm2,lat,long,fieldID,plotNbr,plotID,cropID,plot_area_reported_localUnit,planting_month,localUnit_area,plot_area_reported_ha,crop,planting_year,harvesting_month,harvesting_year,plot_area_measured_ha,crop_area_share,dataset_doi,GPS_level,source,country
1004,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,1,1,44720,6,square meters,4.472,Millet,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1004,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,2,2,44720,6,square meters,4.472,Sorghum,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1005,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,1,1,30870,6,square meters,3.087,Millet,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1005,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,2,2,30870,6,square meters,3.087,Sorghum,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1005,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,3,8,30870,6,square meters,3.087,Cow Pea,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1006,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,1,1,72299,6,square meters,7.2299,Millet,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1006,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,2,2,72299,6,square meters,7.2299,Sorghum,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1007,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,1,1,192627,6,square meters,19.2627,Millet,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1007,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,2,2,192627,6,square meters,19.2627,Sorghum,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1007,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,3,8,192627,6,square meters,19.2627,Cow Pea,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1008,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,1,1,47969,6,square meters,4.7969,Millet,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
