adm4,hhID,plotID,plot_area_reported_localUnit,plot_area_measured_ha,plot_area_reported_ha,localUnit_area,gps_meas,crop_area_share,planting_year,planting_month,harvest_month_begin,harvest_year_begin,harvest_year_end,harvest_month_end,dm_gender,adm1,adm2,adm3,crop,season,latitude,longitude,GPS_level,dataset_name,dataset_doi,wave,country
moved,10009,1,350,1.8811,.80500001,RIDGES,1,100,2018,8,,,,,1,South East,Abia,IKWUANO,CASSAVA,main season,5.46540908966,7.56949383789,adm4,NGA_2018_GHSP-W4_v03_M,https://doi.org/10.48529/1hgw-dq47,2018,Nigeria
moved,10009,1,350,1.8811,.80500001,RIDGES,1,100,2018,8,6,2018,2018,8,1,South East,Abia,IKWUANO,MAIZE,main season,5.46540908966,7.56949383789,adm4,NGA_2018_GHSP-W4_v03_M,https://doi.org/10.48529/1hgw-dq47,2018,Nigeria
moved,10009,2,100,.19539,.23,RIDGES,1,100,2018,4,,,,,1,South East,Abia,IKWUANO,CASSAVA,main season,5.46540908966,7.56949383789,adm4,NGA_2018_GHSP-W4_v03_M,https://doi.org/10.48529/1hgw-dq47,2018,Nigeria
moved,10009,2,100,.19539,.23,RIDGES,1,100,2018,4,7,2018,2018,8,1,South East,Abia,IKWUANO,MAIZE,main season,5.46540908966,7.56949383789,adm4,NGA_2018_GHSP-W4_v03_M,https://doi.org/10.48529/1hgw-dq47,2018,Nigeria
1146,10031,1,70,.050589,.0133,HEAPS,1,100,2018,4,,,,,1,South East,Abia,OSISIOMA,CASSAVA,main season,5.14203254737,7.37471602851,adm4,NGA_2018_GHSP-W4_v03_M,https://doi.org/10.48529/1hgw-dq47,2018,Nigeria
1146,10031,1,70,.050589,.0133,HEAPS,1,100,2018,4,7,2018,2018,11,1,South East,Abia,OSISIOMA,PUMPKIN,main season,5.14203254737,7.37471602851,adm4,NGA_2018_GHSP-W4_v03_M,https://doi.org/10.48529/1hgw-dq47,2018,Nigeria
1146,10031,1,70,.050589,.0133,HEAPS,1,100,2018,4,8,2018,2018,8,1,South East,Abia,OSISIOMA,MAIZE,main season,5.14203254737,7.37471602851,adm4,NGA_2018_GHSP-W4_v03_M,https://doi.org/10.48529/1hgw-dq47,2018,Nigeria
1044,10061,1,1,.070138,.404686,ACRES,1,100,2018,4,7,2018,2018,11,1,South East,Abia,ISIALANGWA SOUTH,GARDEN EGG,main season,5.315248340739999,7.433434646099998,adm4,NGA_2018_GHSP-W4_v03_M,https://doi.org/10.48529/1hgw-dq47,2018,Nigeria
1044,10061,2,1,.075035,.404686,ACRES,1,100,2018,5,8,2018,2018,11,1,South East,Abia,ISIALANGWA SOUTH,CUCUMBER,main season,5.315248340739999,7.433434646099998,adm4,NGA_2018_GHSP-W4_v03_M,https://doi.org/10.48529/1hgw-dq47,2018,Nigeria
1044,10061,3,1,.068153,.404686,ACRES,1,100,2018,4,11,2018,2018,12,1,South East,Abia,ISIALANGWA SOUTH,"YAM, THREE LEAVED",main season,5.315248340739999,7.433434646099998,adm4,NGA_2018_GHSP-W4_v03_M,https://doi.org/10.48529/1hgw-dq47,2018,Nigeria
1044,10061,4,2,,.80937201,ACRES,0,100,2018,4,12,2018,,,1,South East,Abia,ISIALANGWA SOUTH,CASSAVA,main season,5.315248340739999,7.433434646099998,adm4,NGA_2018_GHSP-W4_v03_M,https://doi.org/10.48529/1hgw-dq47,2018,Nigeria
1044,10061,5,1,,.404686,ACRES,0,100,2018,4,5,2018,2018,10,1,South East,Abia,ISIALANGWA SOUTH,MAIZE,main season,5.315248340739999,7.433434646099998,adm4,NGA_2018_GHSP-W4_v03_M,https://doi.org/10.48529/1hgw-dq47,2018,Nigeria
1044,10061,6,1,.024978,.404686,ACRES,1,50,2018,4,11,2018,2018,12,1,South East,Abia,ISIALANGWA SOUTH,"YAM, WHITE",main season,5.315248340739999,7.433434646099998,adm4,NGA_2018_GHSP-W4_v03_M,https://doi.org/10.48529/1hgw-dq47,2018,Nigeria
1044,10061,6,1,.024978,.404686,ACRES,1,50,2018,4,5,2018,2018,11,1,South East,Abia,ISIALANGWA SOUTH,GREEN VEGETABLE,main season,5.315248340739999,7.433434646099998,adm4,NGA_2018_GHSP-W4_v03_M,https://doi.org/10.48529/1hgw-dq47,2018,Nigeria
1044,10061,6,1,.024978,.404686,ACRES,1,33,2018,4,6,2018,2018,11,1,South East,Abia,ISIALANGWA SOUTH,"PEPPER, SMALL (RODO)",main season,5.315248340739999,7.433434646099998,adm4,NGA_2018_GHSP-W4_v03_M,https://doi.org/10.48529/1hgw-dq47,2018,Nigeria
1044,10062,1,2,.096597,.80937201,ACRES,1,50,2018,4,,,,,3,South East,Abia,ISIALANGWA SOUTH,CASSAVA,main season,5.315248340739999,7.433434646099998,adm4,NGA_2018_GHSP-W4_v03_M,https://doi.org/10.48529/1hgw-dq47,2018,Nigeria
1044,10062,1,2,.096597,.80937201,ACRES,1,50,2018,4,5,2018,2018,7,3,South East,Abia,ISIALANGWA SOUTH,MAIZE,main season,5.315248340739999,7.433434646099998,adm4,NGA_2018_GHSP-W4_v03_M,https://doi.org/10.48529/1hgw-dq47,2018,Nigeria
1044,10062,2,1,.055016,.404686,ACRES,1,75,2018,4,,,,,3,South East,Abia,ISIALANGWA SOUTH,CASSAVA,main season,5.315248340739999,7.433434646099998,adm4,NGA_2018_GHSP-W4_v03_M,https://doi.org/10.48529/1hgw-dq47,2018,Nigeria
