hhID,plotID,plot_area_reported_localUnit,crop_area_share,planting_month,planting_year,fieldID,plot_area_reported_ha,localUnit_area,crop,harvest_month_begin,harvest_year_begin,harvest_month_end,harvest_year_end,season,adm1,adm2,adm3,lat,lon,GPS_level,plot_area_measured_ha,harvest_month,harvest_year,adm4,dataset_name,country,dataset_doi
0007d1f1449242feb5a25429644fb991,1,1.79,NA,12,2018,1,0.7244030756778632,acres,Simsim,12,2018,12,2018,first,KOLE,OKWERODOT,ADELLOGO,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
0007d1f1449242feb5a25429644fb991,1,0.92,NA,4,2019,1,0.3723188992310805,acres,Cassava,NA,NA,NA,NA,second,KOLE,OKWERODOT,ADELLOGO,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
0007d1f1449242feb5a25429644fb991,2,2.06,50,4,2019,1,0.8336705787130716,acres,Pigeon peas,9,2019,10,2019,second,KOLE,OKWERODOT,ADELLOGO,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
0007d1f1449242feb5a25429644fb991,2,2.06,50,4,2019,1,0.8336705787130716,acres,Soya beans,NA,NA,NA,NA,second,KOLE,OKWERODOT,ADELLOGO,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
0007d1f1449242feb5a25429644fb991,1,0.95,NA,4,2019,2,0.3844597329016592,acres,Soya beans,NA,NA,NA,NA,second,KOLE,OKWERODOT,ADELLOGO,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
0007d1f1449242feb5a25429644fb991,2,0.49,NA,5,2019,2,0.19830028328611896,acres,Sweet potatoes,NA,NA,NA,NA,second,KOLE,OKWERODOT,ADELLOGO,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
0007d1f1449242feb5a25429644fb991,3,1.03,NA,5,2019,2,0.4168352893565358,acres,Cotton,10,2019,11,2019,second,KOLE,OKWERODOT,ADELLOGO,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
0010cbae3cea4ec9831f6cd92b02dc16,1,1,NA,10,2018,1,0.4046944556859571,acres,Field peas,12,2018,12,2018,first,KOLE,ABOKE,APACH,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
0010cbae3cea4ec9831f6cd92b02dc16,1,0.83,NA,9,2018,2,0.33589639821934436,acres,Soya beans,12,2018,1,2019,first,KOLE,ABOKE,APACH,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
0010cbae3cea4ec9831f6cd92b02dc16,1,1,NA,9,2018,5,0.4046944556859571,acres,Maize,11,2018,12,2018,first,KOLE,ABOKE,APACH,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
0010cbae3cea4ec9831f6cd92b02dc16,1,0.65,NA,3,2018,6,0.2630513961958721,acres,Cassava,10,2018,3,2019,first,KOLE,ABOKE,APACH,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
