"","hhID","lat","lon","GPS_level","country","adm1","adm2","adm3","adm4","fieldID","plotID","crop","season","plot_area_reported","plot_area_measured","crop_area_share","planting_month","harvest_month","harvest_month_begin","harvest_month_end","planting_year","harvest_year","harvest_year_begin","harvest_year_end","source"
"1","7_2",NA,NA,NA,"Niger","Agadez","Arlit",NA,NA,1,1,"Corn","Rainy Season",0.1942,0.1942,0.25,7,NA,NA,NA,2014,NA,NA,NA,"NER_2014_ECVMA-II_v02_M"
"2","7_2",NA,NA,NA,"Niger","Agadez","Arlit",NA,NA,1,1,"Peanut",NA,0.1942,0.1942,0.25,7,NA,NA,NA,2014,NA,NA,NA,"NER_2014_ECVMA-II_v02_M"
"3","7_2",NA,NA,NA,"Niger","Agadez","Arlit",NA,NA,1,1,"Sorrel",NA,0.1942,0.1942,0.25,7,NA,NA,NA,2014,NA,NA,NA,"NER_2014_ECVMA-II_v02_M"
"4","7_2",NA,NA,NA,"Niger","Agadez","Arlit",NA,NA,1,1,"Zucchini",NA,0.1942,0.1942,0.25,7,NA,NA,NA,2014,NA,NA,NA,"NER_2014_ECVMA-II_v02_M"
"5","7_2",NA,NA,NA,"Niger","Agadez","Arlit",NA,NA,1,2,NA,NA,NA,0.6943,NA,NA,NA,NA,NA,2014,NA,NA,NA,"NER_2014_ECVMA-II_v02_M"
"6","7_2",NA,NA,NA,"Niger","Agadez","Arlit",NA,NA,2,1,NA,NA,NA,0.0598,NA,NA,NA,NA,NA,2014,NA,NA,NA,"NER_2014_ECVMA-II_v02_M"
"7","7_6",NA,NA,NA,"Niger","Agadez","Arlit",NA,NA,1,1,"Corn","Rainy Season",0.0291,0.0291,1,3,12,12,12,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"8","7_6",NA,NA,NA,"Niger","Agadez","Arlit",NA,NA,1,2,NA,NA,NA,0.0484,NA,NA,NA,NA,NA,2014,NA,NA,NA,"NER_2014_ECVMA-II_v02_M"
"9","10_4",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Millet","Rainy Season",7.4968,7.4968,0.5,6,10,10,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"10","10_4",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Cow Pea","Rainy Season",7.4968,7.4968,0.5,7,10,10,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"11","10_6",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Millet","Rainy Season",3.6177,3.6177,1,7,11,10,12,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"12","10_7",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Millet","Rainy Season",0,6,NA,7,11,11,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"13","10_7",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Sorghum","Rainy Season",0,6,NA,4,11,11,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"14","10_7",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Cow Pea","Rainy Season",0,6,NA,7,11,11,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"15","10_8",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Millet","Rainy Season",5.1395,5.1395,0.5,8,10,10,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"16","10_8",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Cow Pea","Rainy Season",5.1395,5.1395,0.5,8,10,10,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"17","10_9",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Millet","Rainy Season",4.7067,4.7067,0.5,7,10,10,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"18","10_9",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Cow Pea","Rainy Season",4.7067,4.7067,0.5,7,10,10,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"19","10_10",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Millet","Rainy Season",4.5369,4.5369,0.333333333333333,8,10,9,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"20","10_10",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Sorghum","Rainy Season",4.5369,4.5369,0.333333333333333,8,10,9,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"21","10_10",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Cow Pea","Rainy Season",4.5369,4.5369,0.333333333333333,8,9,9,10,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"22","10_11",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Millet","Rainy Season",4.4713,4.4713,0.5,6,10,9,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"23","10_11",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Cow Pea","Rainy Season",4.4713,4.4713,0.5,6,10,9,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"24","10_12",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Millet","Rainy Season",0.2634,0.2634,0.5,6,10,10,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"25","10_12",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Cow Pea","Rainy Season",0.2634,0.2634,0.5,6,10,10,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"26","10_13",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Millet","Rainy Season",4.7014,4.7014,0.333333333333333,7,10,10,10,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"27","10_13",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Sorghum","Rainy Season",4.7014,4.7014,0.333333333333333,7,10,10,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"28","10_13",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Cow Pea","Rainy Season",4.7014,4.7014,0.333333333333333,7,10,10,10,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"29","10_14",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Millet","Rainy Season",3.3816,3.3816,1,7,10,9,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"30","10_15",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Millet","Rainy Season",3.272,3.272,0.333333333333333,8,10,10,10,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"31","10_15",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Sorghum","Rainy Season",3.272,3.272,0.333333333333333,8,10,10,10,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"32","10_15",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Cow Pea","Rainy Season",3.272,3.272,0.333333333333333,8,10,10,10,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"33","10_16",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Millet","Rainy Season",6.0072,6.0072,0.333333333333333,6,10,9,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"34","10_16",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Sorghum","Rainy Season",6.0072,6.0072,0.333333333333333,7,10,9,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"35","10_16",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Cow Pea","Rainy Season",6.0072,6.0072,0.333333333333333,7,10,9,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"36","10_17",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Millet","Rainy Season",1.917,1.917,1,7,11,11,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"37","10_18",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Millet","Rainy Season",3.2189,3.2189,0.333333333333333,8,10,9,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"38","10_18",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Cow Pea","Rainy Season",3.2189,3.2189,0.333333333333333,8,10,9,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"39","10_18",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Sorrel","Rainy Season",3.2189,3.2189,0.333333333333333,8,10,9,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"40","12_1",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Onion","Rainy Season",0.1114,0.1114,1,6,8,7,9,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"41","12_1",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,2,"Bell Pepper","Rainy Season",0.035,0.035,1,6,8,7,9,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"42","12_1",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,3,"Zucchini","Rainy Season",0.0118,0.0118,1,6,8,7,9,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"43","12_1",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,4,NA,NA,NA,0.11,NA,NA,NA,NA,NA,2014,NA,NA,NA,"NER_2014_ECVMA-II_v02_M"
"44","12_1",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,2,1,NA,NA,NA,0.1133,NA,NA,NA,NA,NA,2014,NA,NA,NA,"NER_2014_ECVMA-II_v02_M"
"45","12_2",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Onion","Rainy Season",0.243,0.2431,1,6,12,12,12,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"46","12_3",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Tomato","Rainy Season",0.0288,0.0288,1,8,6,12,1,2014,2014,2014,2015,"NER_2014_ECVMA-II_v02_M"
"47","12_3",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,2,"Onion","Rainy Season",0.1363,0.1363,1,8,11,11,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"48","12_3",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,3,"Corn","Rainy Season",0.1122,0.1125,1,8,11,11,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"49","12_7",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Onion","Rainy Season",0,0.3002,NA,6,11,11,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"50","12_7",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,2,"Corn","Rainy Season",0,0.125,NA,7,10,10,10,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"51","12_9",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Onion","Rainy Season",0,0.1955,NA,5,11,11,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"52","12_9",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,2,NA,NA,NA,0.3481,NA,NA,NA,NA,NA,2014,NA,NA,NA,"NER_2014_ECVMA-II_v02_M"
"53","12_10",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Onion","Rainy Season",0.1488,0.1489,1,7,12,12,12,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"54","12_10",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,2,NA,NA,NA,0.8517,NA,NA,NA,NA,NA,2014,NA,NA,NA,"NER_2014_ECVMA-II_v02_M"
"55","12_11",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Onion","Rainy Season",0.1155,0.1155,1,6,11,11,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"56","12_11",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,2,"Onion","Rainy Season",0.0404,0.0404,1,6,11,11,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"57","12_12",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Onion","Rainy Season",0,0.1234,NA,8,NA,NA,NA,2014,NA,NA,NA,"NER_2014_ECVMA-II_v02_M"
"58","12_13",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Onion","Rainy Season",0.164,0.164,1,6,11,11,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"59","12_13",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,2,"Bell Pepper","Rainy Season",0.0211,0.021,1,6,11,11,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"60","12_13",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,3,NA,NA,NA,0.1755,NA,NA,NA,NA,NA,2014,NA,NA,NA,"NER_2014_ECVMA-II_v02_M"
"61","12_14",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,2,"Onion","Rainy Season",0,0.2915,NA,7,11,11,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"62","12_14",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,3,"Corn","Rainy Season",0,0.0477,NA,7,10,10,10,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"63","12_16",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Onion","Rainy Season",0.2067,0.2067,1,7,12,12,12,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"64","12_16",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,2,NA,NA,NA,0.2526,NA,NA,NA,NA,NA,2014,NA,NA,NA,"NER_2014_ECVMA-II_v02_M"
"65","12_17",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,NA,NA,NA,0.2345,NA,NA,NA,NA,NA,2014,NA,NA,NA,"NER_2014_ECVMA-II_v02_M"
"66","12_17",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,2,"Onion","Rainy Season",0,0.5121,NA,7,12,12,12,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"67","13_1",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Onion","Rainy Season",0.0091,0.0091,1,7,11,11,12,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"68","13_1",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,2,"Onion","Rainy Season",0.1164,0.1164,1,7,11,11,12,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"69","13_1",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,3,"Onion","Rainy Season",0.1178,0.1178,1,7,11,11,12,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"70","13_1",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,4,"Sorghum","Rainy Season",0.1334,0.1334,0.333333333333333,7,11,11,12,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"71","13_1",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,4,"Cow Pea","Rainy Season",0.1334,0.1334,0.333333333333333,7,11,11,12,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"72","13_1",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,4,"Okra","Rainy Season",0.1334,0.1334,0.333333333333333,7,10,10,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"73","13_3",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Onion","Rainy Season",0.3911,0.3911,1,7,12,12,12,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"74","13_4",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Onion","Rainy Season",0.1346,0.1346,1,8,11,11,12,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"75","13_4",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,2,1,"Onion","Rainy Season",0.0205,0.0205,1,8,11,11,12,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"76","13_4",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,2,2,"Corn","Rainy Season",0.0073,0.0073,0.333333333333333,7,10,10,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"77","13_4",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,2,2,"Cow Pea","Rainy Season",0.0073,0.0073,0.333333333333333,7,11,11,12,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"78","13_4",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,2,2,"Zucchini","Rainy Season",0.0073,0.0073,0.333333333333333,7,11,11,12,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"79","13_5",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Onion","Rainy Season",0.634,0.634,1,8,10,10,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"80","13_6",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Onion","Rainy Season",0.1894,0.1894,1,8,10,10,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"81","13_7",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Onion","Rainy Season",0.3337,0.3337,1,8,11,11,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"82","13_10",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Onion","Rainy Season",0.0535,0.0535,1,7,10,10,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"83","13_10",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,2,"Sorrel","Rainy Season",0.0172,0.0172,0.5,7,11,11,12,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"84","13_10",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,2,"Lettuce","Rainy Season",0.0172,0.0172,0.5,7,10,10,11,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"85","13_12",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Onion","Rainy Season",0.2713,0.2713,1,7,11,11,12,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"86","13_12",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,2,"Onion",NA,0.0414,0.0414,1,7,NA,NA,NA,2014,NA,NA,NA,"NER_2014_ECVMA-II_v02_M"
"87","13_12",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,3,"Lettuce","Rainy Season",0.0216,0.0216,1,7,11,11,12,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"88","13_14",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Onion","Rainy Season",0.2746,0.2746,0.424420401854714,8,10,10,10,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
"89","13_14",NA,NA,NA,"Niger","Agadez","Tchirozérine",NA,NA,1,1,"Onion","Rainy Season",0.2746,0.2746,0.424420401854714,8,10,10,10,2014,2014,2014,2014,"NER_2014_ECVMA-II_v02_M"
