hhID,plotID,plot_area_reported_localUnit,crop_area_share,planting_month,planting_year,localUnit_area,plot_area_reported_ha,plot_area_measured_ha,crop,harvest_month_begin,harvest_month_end,harvest_year_begin,harvest_year_end,season,adm1,adm2,adm3,adm4,latitude,longitude,GPS_level,harvest_month,harvest_year,dataset_name,dataset_doi,country
1021000710,1,0.125,40,12,2011,acres,0.050586806960744635,NA,Maize,NA,NA,NA,NA,second,KAMPALA,KAWEMPE DIVISION,KAWEMPE DIVISION,KIKAYA,0.365140766,32.59701538,EA,NA,NA,UGA_2011_UNPS_v01_M,https://doi.org/10.48529/5cpp-r373,Uganda
1021000710,1,0.125,60,12,2011,acres,0.050586806960744635,NA,Beans,NA,NA,NA,NA,second,KAMPALA,KAWEMPE DIVISION,KAWEMPE DIVISION,KIKAYA,0.365140766,32.59701538,EA,NA,NA,UGA_2011_UNPS_v01_M,https://doi.org/10.48529/5cpp-r373,Uganda
1021000710,1,NA,NA,NA,NA,NA,NA,NA,Banana food,12,5,NA,NA,first,KAMPALA,KAWEMPE DIVISION,KAWEMPE DIVISION,KIKAYA,0.365140766,32.59701538,EA,NA,NA,UGA_2011_UNPS_v01_M,https://doi.org/10.48529/5cpp-r373,Uganda
1021001109,1,1.5,60,2,2010,acres,0.6070416835289356,NA,Yam,5,6,NA,NA,first,KAMPALA,MAKINDYE DIVISION,MAKINDYE DIVISION,BUKASA,0.289272875,32.61597443,EA,NA,NA,UGA_2011_UNPS_v01_M,https://doi.org/10.48529/5cpp-r373,Uganda
1021001109,2,1.5,40,1,2010,acres,0.6070416835289356,NA,Banana food,10,12,NA,NA,first,KAMPALA,MAKINDYE DIVISION,MAKINDYE DIVISION,BUKASA,0.289272875,32.61597443,EA,NA,NA,UGA_2011_UNPS_v01_M,https://doi.org/10.48529/5cpp-r373,Uganda
1021001109,2,1.5,30,4,2011,acres,0.6070416835289356,NA,Sweet potatoes,6,7,NA,NA,first,KAMPALA,MAKINDYE DIVISION,MAKINDYE DIVISION,BUKASA,0.289272875,32.61597443,EA,NA,NA,UGA_2011_UNPS_v01_M,https://doi.org/10.48529/5cpp-r373,Uganda
1021001109,2,1.5,30,1,2010,acres,0.6070416835289356,NA,Cassava,9,12,NA,NA,first,KAMPALA,MAKINDYE DIVISION,MAKINDYE DIVISION,BUKASA,0.289272875,32.61597443,EA,NA,NA,UGA_2011_UNPS_v01_M,https://doi.org/10.48529/5cpp-r373,Uganda
1021001109,1,1.5,40,1,2010,acres,0.6070416835289356,NA,Sugarcane,9,11,NA,NA,first,KAMPALA,MAKINDYE DIVISION,MAKINDYE DIVISION,BUKASA,0.289272875,32.61597443,EA,NA,NA,UGA_2011_UNPS_v01_M,https://doi.org/10.48529/5cpp-r373,Uganda
1021002013,4,0.200000003,100,8,2011,acres,0.08093889235127479,NA,Groundnuts,NA,NA,NA,NA,second,KAMPALA,NAKAWA DIVISION,NAKAWA,BUKOTO I,0.344782233,32.58753204,EA,NA,NA,UGA_2011_UNPS_v01_M,https://doi.org/10.48529/5cpp-r373,Uganda
1021002013,1,NA,NA,NA,NA,NA,NA,NA,Sugarcane,6,10,NA,NA,first,KAMPALA,NAKAWA DIVISION,NAKAWA,BUKOTO I,0.344782233,32.58753204,EA,NA,NA,UGA_2011_UNPS_v01_M,https://doi.org/10.48529/5cpp-r373,Uganda
1021002013,4,NA,NA,NA,NA,NA,NA,NA,Banana food,1,6,NA,NA,first,KAMPALA,NAKAWA DIVISION,NAKAWA,BUKOTO I,0.344782233,32.58753204,EA,NA,NA,UGA_2011_UNPS_v01_M,https://doi.org/10.48529/5cpp-r373,Uganda
1021002013,3,0.200000003,100,3,2011,acres,0.08093889235127479,NA,Cassava,NA,NA,NA,NA,second,KAMPALA,NAKAWA DIVISION,NAKAWA,BUKOTO I,0.344782233,32.58753204,EA,NA,NA,UGA_2011_UNPS_v01_M,https://doi.org/10.48529/5cpp-r373,Uganda
1021002013,2,0.200000003,100,3,2011,acres,0.08093889235127479,NA,Cassava,NA,NA,NA,NA,first,KAMPALA,NAKAWA DIVISION,NAKAWA,BUKOTO I,0.344782233,32.58753204,EA,NA,NA,UGA_2011_UNPS_v01_M,https://doi.org/10.48529/5cpp-r373,Uganda
1021002013,3,0.200000003,100,3,2011,acres,0.08093889235127479,NA,Maize,9,10,NA,NA,first,KAMPALA,NAKAWA DIVISION,NAKAWA,BUKOTO I,0.344782233,32.58753204,EA,NA,NA,UGA_2011_UNPS_v01_M,https://doi.org/10.48529/5cpp-r373,Uganda
1021002210,3,0.25,70,2,2011,acres,0.10117361392148927,NA,Banana food,NA,NA,NA,NA,first,KAMPALA,NAKAWA DIVISION,NAKAWA,KYANJA,0.368404359,32.59025574,EA,NA,NA,UGA_2011_UNPS_v01_M,https://doi.org/10.48529/5cpp-r373,Uganda
1021002210,2,0.25,100,7,2011,acres,0.10117361392148927,NA,Maize,NA,NA,NA,NA,second,KAMPALA,NAKAWA DIVISION,NAKAWA,KYANJA,0.368404359,32.59025574,EA,NA,NA,UGA_2011_UNPS_v01_M,https://doi.org/10.48529/5cpp-r373,Uganda
1021002210,1,0.25,100,6,2011,acres,0.10117361392148927,NA,Cassava,NA,NA,NA,NA,second,KAMPALA,NAKAWA DIVISION,NAKAWA,KYANJA,0.368404359,32.59025574,EA,NA,NA,UGA_2011_UNPS_v01_M,https://doi.org/10.48529/5cpp-r373,Uganda
1021002210,2,0.25,100,6,2011,acres,0.10117361392148927,NA,Cassava,NA,NA,NA,NA,first,KAMPALA,NAKAWA DIVISION,NAKAWA,KYANJA,0.368404359,32.59025574,EA,NA,NA,UGA_2011_UNPS_v01_M,https://doi.org/10.48529/5cpp-r373,Uganda
1021002210,3,0.25,70,2,2011,acres,0.10117361392148927,NA,Banana food,NA,NA,NA,NA,second,KAMPALA,NAKAWA DIVISION,NAKAWA,KYANJA,0.368404359,32.59025574,EA,NA,NA,UGA_2011_UNPS_v01_M,https://doi.org/10.48529/5cpp-r373,Uganda
1021002210,3,0.25,30,1,2010,acres,0.10117361392148927,NA,Avacoda,NA,NA,NA,NA,second,KAMPALA,NAKAWA DIVISION,NAKAWA,KYANJA,0.368404359,32.59025574,EA,NA,NA,UGA_2011_UNPS_v01_M,https://doi.org/10.48529/5cpp-r373,Uganda
1021002210,3,0.25,30,1,2010,acres,0.10117361392148927,NA,Avacoda,4,4,NA,NA,first,KAMPALA,NAKAWA DIVISION,NAKAWA,KYANJA,0.368404359,32.59025574,EA,NA,NA,UGA_2011_UNPS_v01_M,https://doi.org/10.48529/5cpp-r373,Uganda
1021002210,1,0.5,100,2,2011,acres,0.20234722784297854,NA,Sweet potatoes,5,6,NA,NA,first,KAMPALA,NAKAWA DIVISION,NAKAWA,KYANJA,0.368404359,32.59025574,EA,NA,NA,UGA_2011_UNPS_v01_M,https://doi.org/10.48529/5cpp-r373,Uganda
1021002610,1,0.25,100,1,2010,acres,0.10117361392148927,NA,Banana food,NA,NA,NA,NA,second,KAMPALA,RUBAGA DIVISION,RUBAGA DIVISION,BUSEGA,0.305940717,32.52914429,EA,NA,NA,UGA_2011_UNPS_v01_M,https://doi.org/10.48529/5cpp-r373,Uganda
