hhID,plotID,plot_area_reported_localUnit,crop_area_share,planting_month,planting_year,crop,plot_area_reported_ha,localUnit_area,harvest_month_begin,harvest_year_begin,harvest_month_end,harvest_year_end,season,adm1,adm2,adm3,adm4,latitude,longitude,GPS_level,plot_area_measured,harvest_month,harvest_year,source,dataset_doi,country
1020401,1,0.699999988079071,60,3,2013,Beans,0.2832861141558361,acres,5,2013,6,2013,first,Central,Ssembabule,Mateete,Nakagongo,NA,NA,NA,NA,NA,NA,UGA_2013_UNPS_v02_M,https://doi.org/10.48529/c1c4-h654,Uganda
1020401,1,0.699999988079071,60,3,2013,Beans,0.2832861141558361,acres,6,2013,6,2013,first,Central,Ssembabule,Mateete,Nakagongo,NA,NA,NA,NA,NA,NA,UGA_2013_UNPS_v02_M,https://doi.org/10.48529/c1c4-h654,Uganda
1020401,1,0.699999988079071,40,3,2013,Maize,0.2832861141558361,acres,7,2013,7,2013,first,Central,Ssembabule,Mateete,Nakagongo,NA,NA,NA,NA,NA,NA,UGA_2013_UNPS_v02_M,https://doi.org/10.48529/c1c4-h654,Uganda
1020401,1,0.699999988079071,40,3,2013,Maize,0.2832861141558361,acres,6,2013,7,2013,first,Central,Ssembabule,Mateete,Nakagongo,NA,NA,NA,NA,NA,NA,UGA_2013_UNPS_v02_M,https://doi.org/10.48529/c1c4-h654,Uganda
1020401,2,0.5,100,3,2013,Groundnuts,0.20234722784297854,acres,6,2013,7,2013,first,Central,Ssembabule,Mateete,Nakagongo,NA,NA,NA,NA,NA,NA,UGA_2013_UNPS_v02_M,https://doi.org/10.48529/c1c4-h654,Uganda
1020401,3,0.300000011920929,100,2,2013,Sweet Potatoes,0.121408341530121,acres,6,2013,7,2013,first,Central,Ssembabule,Mateete,Nakagongo,NA,NA,NA,NA,NA,NA,UGA_2013_UNPS_v02_M,https://doi.org/10.48529/c1c4-h654,Uganda
1020401,1,0.5,50,8,2013,Maize,0.20234722784297854,acres,12,2013,1,2014,second,Central,Ssembabule,Mateete,Nakagongo,NA,NA,NA,NA,NA,NA,UGA_2013_UNPS_v02_M,https://doi.org/10.48529/c1c4-h654,Uganda
1020401,1,0.5,50,8,2013,Beans,0.20234722784297854,acres,11,2013,12,2013,second,Central,Ssembabule,Mateete,Nakagongo,NA,NA,NA,NA,NA,NA,UGA_2013_UNPS_v02_M,https://doi.org/10.48529/c1c4-h654,Uganda
1020401,2,0.300000011920929,NA,10,2013,Cassava,0.121408341530121,acres,NA,NA,NA,NA,second,Central,Ssembabule,Mateete,Nakagongo,NA,NA,NA,NA,NA,NA,UGA_2013_UNPS_v02_M,https://doi.org/10.48529/c1c4-h654,Uganda
1020401,3,0.400000005960464,NA,8,2013,Groundnuts,0.16187778468654956,acres,11,2013,12,2013,second,Central,Ssembabule,Mateete,Nakagongo,NA,NA,NA,NA,NA,NA,UGA_2013_UNPS_v02_M,https://doi.org/10.48529/c1c4-h654,Uganda
